island,site,date,type,number,result,ground
saipan,ladtd,3-Jul-13,disturbed,72,0,n
saipan,ladtd,3-Jul-13,disturbed,73,0,n
saipan,ladtd,3-Jul-13,disturbed,74,0,n
saipan,ladtd,3-Jul-13,disturbed,75,0,n
saipan,ladtd,3-Jul-13,disturbed,76,0,n
saipan,ladtd,3-Jul-13,disturbed,80,0,n
saipan,ladtd,3-Jul-13,disturbed,81,0,n
saipan,ladtd,3-Jul-13,disturbed,82,0,n
saipan,ladtd,3-Jul-13,disturbed,83,0,n
saipan,ladtd,3-Jul-13,disturbed,84,0,n
saipan,ladtd,3-Jul-13,disturbed,85,0,n
saipan,ladtd,3-Jul-13,disturbed,86,0,n
saipan,ladtd,3-Jul-13,disturbed,89,0,n
saipan,ladtd,3-Jul-13,disturbed,90,0,n
saipan,ladtd,3-Jul-13,disturbed,92,0,n
saipan,ladtd,3-Jul-13,disturbed,93,0,n
saipan,ladtd,3-Jul-13,disturbed,95,0,n
saipan,ladtd,3-Jul-13,disturbed,99,0,n
saipan,ladtd,3-Jul-13,disturbed,101,0,n
saipan,ladtd,3-Jul-13,disturbed,102,0,n
saipan,ladtd,3-Jul-13,disturbed,103,0,n
saipan,ladtd,3-Jul-13,disturbed,104,0,n
saipan,ladtd,3-Jul-13,disturbed,105,0,n
saipan,ladtd,3-Jul-13,disturbed,106,0,n
saipan,ladtd,3-Jul-13,disturbed,109,0,n
saipan,ladtd,3-Jul-13,disturbed,110,0,n
saipan,ladtd,3-Jul-13,disturbed,111,0,n
saipan,ladtd,3-Jul-13,disturbed,113,0,n
saipan,ladtd,3-Jul-13,disturbed,114,0,n
saipan,ladtd,3-Jul-13,disturbed,116,0,n
saipan,ladtd,3-Jul-13,disturbed,117,0,n
saipan,ladtd,3-Jul-13,disturbed,118,0,n
saipan,ladtd,3-Jul-13,disturbed,119,0,n
saipan,ladtd,3-Jul-13,disturbed,121,0,n
saipan,ladtd,3-Jul-13,disturbed,122,0,n
saipan,ladtd,3-Jul-13,disturbed,123,0,n
saipan,ladtd,3-Jul-13,disturbed,124,0,n
saipan,ladtd,3-Jul-13,disturbed,125,0,n
saipan,ladtd,3-Jul-13,disturbed,126,0,n
saipan,ladtd,3-Jul-13,disturbed,128,0,n
saipan,ladtd,3-Jul-13,disturbed,129,0,n
