island,site,date,type,number,result,ground,predation
rota,calvo,18-Jul-13,disturbed,72,n,n,0
rota,calvo,18-Jul-13,disturbed,73,n,n,0
rota,calvo,18-Jul-13,disturbed,74,n,n,0
rota,calvo,18-Jul-13,disturbed,76,n,n,0
rota,calvo,18-Jul-13,disturbed,78,n,n,0
rota,calvo,18-Jul-13,disturbed,80,n,n,0
rota,calvo,18-Jul-13,disturbed,82,n,n,0
rota,calvo,18-Jul-13,disturbed,84,n,n,0
rota,calvo,18-Jul-13,disturbed,85,n,n,0
rota,calvo,18-Jul-13,disturbed,86,n,n,0
rota,calvo,18-Jul-13,disturbed,87,n,n,0
rota,calvo,18-Jul-13,disturbed,88,n,n,0
rota,calvo,18-Jul-13,disturbed,89,n,n,0
rota,calvo,18-Jul-13,disturbed,90,n,n,0
rota,calvo,18-Jul-13,disturbed,91,n,n,0
rota,calvo,18-Jul-13,disturbed,92,n,n,0
rota,calvo,18-Jul-13,disturbed,93,n,n,0
rota,calvo,18-Jul-13,disturbed,94,n,n,0
rota,calvo,18-Jul-13,disturbed,95,n,n,0
rota,calvo,18-Jul-13,disturbed,96,n,n,0
rota,calvo,18-Jul-13,disturbed,97,n,n,0
rota,calvo,18-Jul-13,disturbed,98,n,n,0
rota,calvo,18-Jul-13,disturbed,99,n,n,0
rota,calvo,18-Jul-13,disturbed,100,n,n,0
rota,calvo,18-Jul-13,disturbed,101,n,n,0
rota,calvo,18-Jul-13,disturbed,102,n,n,0
rota,calvo,18-Jul-13,disturbed,103,n,n,0
rota,calvo,18-Jul-13,disturbed,105,n,n,0
rota,calvo,18-Jul-13,disturbed,106,n,y,0
rota,calvo,18-Jul-13,disturbed,107,n,n,0
rota,calvo,18-Jul-13,disturbed,108,n,n,0
rota,calvo,18-Jul-13,disturbed,109,n,n,0
rota,calvo,18-Jul-13,disturbed,110,n,n,0
rota,calvo,18-Jul-13,disturbed,111,n,n,0
rota,calvo,18-Jul-13,disturbed,112,n,y,0
rota,calvo,18-Jul-13,disturbed,113,n,n,0
rota,calvo,18-Jul-13,disturbed,114,n,n,0
rota,calvo,18-Jul-13,disturbed,115,n,n,0
rota,calvo,18-Jul-13,disturbed,117,n,n,0
rota,calvo,18-Jul-13,disturbed,118,n,n,0
rota,calvo,18-Jul-13,disturbed,119,n,n,0
rota,calvo,18-Jul-13,disturbed,120,n,n,0
rota,calvo,18-Jul-13,disturbed,121,n,n,0
rota,calvo,18-Jul-13,disturbed,122,n,n,0
rota,calvo,18-Jul-13,disturbed,123,n,n,0
rota,calvo,18-Jul-13,disturbed,126,n,n,0
rota,calvo,18-Jul-13,disturbed,127,n,n,0
rota,calvo,18-Jul-13,disturbed,128,n,n,0
rota,calvo,18-Jul-13,disturbed,129,n,n,0
rota,calvo,18-Jul-13,disturbed,130,n,n,0
rota,calvo,18-Jul-13,disturbed,131,n,n,0
rota,calvo,18-Jul-13,disturbed,132,n,n,0
rota,calvo,18-Jul-13,disturbed,134,n,n,0
rota,calvo,18-Jul-13,disturbed,135,n,n,0
rota,calvo,18-Jul-13,disturbed,137,n,n,0
rota,calvo,18-Jul-13,disturbed,138,n,n,0
rota,calvo,18-Jul-13,disturbed,139,n,n,0
rota,calvo,18-Jul-13,disturbed,140,n,n,0
rota,calvo,18-Jul-13,disturbed,141,n,n,0
rota,calvo,18-Jul-13,disturbed,142,n,n,0
rota,calvo,18-Jul-13,disturbed,145,n,n,0
rota,calvo,18-Jul-13,disturbed,146,n,n,0
rota,calvo,18-Jul-13,disturbed,147,n,n,0
rota,calvo,18-Jul-13,disturbed,148,n,n,0
rota,calvo,18-Jul-13,disturbed,149,n,n,0
rota,calvo,18-Jul-13,disturbed,150,n,n,0
saipan,ladtd,3-Jul-13,disturbed,1,n,n,0
saipan,ladtd,3-Jul-13,disturbed,2,n,n,0
saipan,ladtd,3-Jul-13,disturbed,3,n,n,0
saipan,ladtd,3-Jul-13,disturbed,5,n,n,0
saipan,ladtd,3-Jul-13,disturbed,7,n,n,0
saipan,ladtd,3-Jul-13,disturbed,8,n,n,0
saipan,ladtd,3-Jul-13,disturbed,9,n,n,0
saipan,ladtd,3-Jul-13,disturbed,10,n,n,0
saipan,ladtd,3-Jul-13,disturbed,11,n,n,0
saipan,ladtd,3-Jul-13,disturbed,12,n,n,0
saipan,ladtd,3-Jul-13,disturbed,13,n,n,0
saipan,ladtd,3-Jul-13,disturbed,14,n,n,0
saipan,ladtd,3-Jul-13,disturbed,19,n,n,0
saipan,ladtd,3-Jul-13,disturbed,22,n,n,0
saipan,ladtd,3-Jul-13,disturbed,24,n,n,0
saipan,ladtd,3-Jul-13,disturbed,26,n,n,0
saipan,ladtd,3-Jul-13,disturbed,27,n,n,0
saipan,ladtd,3-Jul-13,disturbed,29,n,n,0
saipan,ladtd,3-Jul-13,disturbed,30,n,n,0
saipan,ladtd,3-Jul-13,disturbed,31,n,n,0
saipan,ladtd,3-Jul-13,disturbed,32,n,n,0
saipan,ladtd,3-Jul-13,disturbed,33,n,n,0
saipan,ladtd,3-Jul-13,disturbed,34,n,n,0
saipan,ladtd,3-Jul-13,disturbed,35,n,n,0
saipan,ladtd,3-Jul-13,disturbed,36,n,n,0
saipan,ladtd,3-Jul-13,disturbed,37,n,n,0
saipan,ladtd,3-Jul-13,disturbed,42,n,n,0
saipan,ladtd,3-Jul-13,disturbed,44,n,n,0
saipan,ladtd,3-Jul-13,disturbed,46,n,n,0
saipan,ladtd,3-Jul-13,disturbed,47,n,n,0
saipan,ladtd,3-Jul-13,disturbed,49,n,n,0
saipan,ladtd,3-Jul-13,disturbed,50,n,n,0
saipan,ladtd,3-Jul-13,disturbed,52,n,n,0
saipan,ladtd,3-Jul-13,disturbed,53,n,n,0
saipan,ladtd,3-Jul-13,disturbed,54,n,n,0
saipan,ladtd,3-Jul-13,disturbed,55,n,n,0
saipan,ladtd,3-Jul-13,disturbed,56,n,n,0
saipan,ladtd,3-Jul-13,disturbed,60,n,n,0
saipan,ladtd,3-Jul-13,disturbed,63,n,n,0
saipan,ladtd,3-Jul-13,disturbed,67,n,n,0
saipan,ladtd,3-Jul-13,disturbed,68,n,n,0
saipan,ladtd,3-Jul-13,disturbed,69,n,n,0
saipan,ladtd,3-Jul-13,disturbed,70,n,n,0
saipan,ladtd,3-Jul-13,disturbed,71,n,n,0
saipan,ladtd,3-Jul-13,disturbed,72,n,n,0
saipan,ladtd,3-Jul-13,disturbed,73,n,n,0
saipan,ladtd,3-Jul-13,disturbed,74,n,n,0
saipan,ladtd,3-Jul-13,disturbed,75,n,n,0
